0	0	791
0	1	774
0	2	1219
0	3	447
0	4	1215
0	5	1013
0	6	952
0	7	1123
0	8	1080
0	9	458
0	10	1283
0	11	421
1	0	923
1	1	957
1	2	911
1	3	652
1	4	720
1	5	937
1	6	560
1	7	1115
1	8	1013
1	9	677
1	10	1037
1	11	877
2	0	1276
2	1	1028
2	2	1094
2	3	1344
2	4	872
2	5	1151
2	6	882
2	7	848
2	8	820
2	9	438
2	10	670
2	11	686
3	0	656
3	1	824
3	2	1092
3	3	1279
3	4	1110
3	5	1356
3	6	625
3	7	1360
3	8	949
3	9	1014
3	10	1167
3	11	410
4	0	1329
4	1	447
4	2	562
4	3	859
4	4	1210
4	5	544
4	6	667
4	7	957
4	8	908
4	9	442
4	10	1093
4	11	561
5	0	672
5	1	905
5	2	1065
5	3	529
5	4	1227
5	5	770
5	6	928
5	7	855
5	8	605
5	9	524
5	10	730
5	11	1137
6	0	1227
6	1	917
6	2	931
6	3	511
6	4	1098
6	5	948
6	6	766
6	7	684
6	8	1219
6	9	451
6	10	978
6	11	1315
7	0	771
7	1	1015
7	2	663
7	3	551
7	4	414
7	5	917
7	6	719
7	7	1204
7	8	1081
7	9	1325
7	10	1004
7	11	669
8	0	982
8	1	1027
8	2	591
8	3	430
8	4	1135
8	5	580
8	6	690
8	7	699
8	8	653
8	9	852
8	10	681
8	11	483
9	0	1153
9	1	607
9	2	1398
9	3	1207
9	4	1155
9	5	945
9	6	1282
9	7	789
9	8	1017
9	9	1133
9	10	1261
9	11	954
10	0	1029
10	1	596
10	2	1249
10	3	440
10	4	539
10	5	624
10	6	982
10	7	679
10	8	590
10	9	646
10	10	488
10	11	448
11	0	1388
11	1	760
11	2	859
11	3	1019
11	4	1091
11	5	579
11	6	1193
11	7	1285
11	8	800
11	9	1361
11	10	437
11	11	427
12	0	1354
12	1	796
12	2	666
12	3	721
12	4	519
12	5	823
12	6	768
12	7	1227
12	8	419
12	9	1297
12	10	820
12	11	1188
13	0	602
13	1	1398
13	2	500
13	3	1179
13	4	986
13	5	1190
13	6	716
13	7	1204
13	8	1005
13	9	856
13	10	1263
13	11	1193
14	0	694
14	1	725
14	2	733
14	3	593
14	4	1120
14	5	1381
14	6	1077
14	7	1054
14	8	509
14	9	806
14	10	1208
14	11	506
15	0	661
15	1	736
15	2	758
15	3	1309
15	4	773
15	5	1144
15	6	661
15	7	508
15	8	563
15	9	1030
15	10	538
15	11	672
16	0	689
16	1	528
16	2	936
16	3	1215
16	4	809
16	5	651
16	6	1383
16	7	592
16	8	1271
16	9	876
16	10	860
16	11	1262
17	0	1336
17	1	1178
17	2	713
17	3	860
17	4	1062
17	5	1023
17	6	1283
17	7	579
17	8	437
17	9	1342
17	10	514
17	11	1375
18	0	1138
18	1	434
18	2	568
18	3	1243
18	4	1322
18	5	1350
18	6	1066
18	7	460
18	8	1197
18	9	1281
18	10	906
18	11	415
19	0	735
19	1	1139
19	2	732
19	3	1349
19	4	752
19	5	577
19	6	1037
19	7	1099
19	8	802
19	9	1377
19	10	575
19	11	727
20	0	731
20	1	1311
20	2	1232
20	3	740
20	4	514
20	5	1277
20	6	732
20	7	449
20	8	1005
20	9	773
20	10	629
20	11	916
21	0	500
21	1	540
21	2	797
21	3	827
21	4	640
21	5	505
21	6	1276
21	7	617
21	8	1007
21	9	997
21	10	672
21	11	1093
22	0	899
22	1	583
22	2	475
22	3	873
22	4	1251
22	5	756
22	6	617
22	7	941
22	8	1282
22	9	1155
22	10	1274
22	11	736
23	0	535
23	1	937
23	2	460
23	3	1262
23	4	1146
23	5	442
23	6	1206
23	7	863
23	8	810
23	9	1293
23	10	1203
23	11	453
24	0	678
24	1	632
24	2	627
24	3	1209
24	4	573
24	5	1301
24	6	486
24	7	934
24	8	1268
24	9	1362
24	10	1242
24	11	587
25	0	1280
25	1	525
25	2	641
25	3	746
25	4	556
25	5	730
25	6	672
25	7	1090
25	8	673
25	9	1323
25	10	1296
25	11	1362
26	0	703
26	1	1033
26	2	1159
26	3	630
26	4	675
26	5	1219
26	6	768
26	7	1091
26	8	649
26	9	660
26	10	758
26	11	1116
27	0	784
27	1	501
27	2	702
27	3	700
27	4	419
27	5	845
27	6	611
27	7	993
27	8	1104
27	9	858
27	10	691
27	11	1136
28	0	740
28	1	1214
28	2	1149
28	3	1176
28	4	439
28	5	1135
28	6	839
28	7	477
28	8	522
28	9	1315
28	10	1327
28	11	615
29	0	1096
29	1	502
29	2	501
29	3	489
29	4	971
29	5	585
29	6	1232
29	7	998
29	8	1326
29	9	633
29	10	661
29	11	420
30	0	1381
30	1	426
30	2	667
30	3	1356
30	4	541
30	5	678
30	6	680
30	7	905
30	8	894
30	9	1349
30	10	552
30	11	556
31	0	737
31	1	1117
31	2	1379
31	3	1123
31	4	744
31	5	1370
31	6	1251
31	7	957
31	8	769
31	9	810
31	10	692
31	11	564
32	0	790
32	1	1100
32	2	1159
32	3	708
32	4	1397
32	5	798
32	6	1340
32	7	1063
32	8	1365
32	9	1213
32	10	1154
32	11	473
33	0	1256
33	1	685
33	2	1276
33	3	949
33	4	725
33	5	1257
33	6	768
33	7	551
33	8	1169
33	9	653
33	10	848
33	11	465
34	0	636
34	1	960
34	2	1158
34	3	678
34	4	455
34	5	448
34	6	921
34	7	823
34	8	879
34	9	522
34	10	1242
34	11	995
35	0	1142
35	1	874
35	2	423
35	3	519
35	4	719
35	5	533
35	6	584
35	7	941
35	8	1259
35	9	641
35	10	1037
35	11	805
36	0	610
36	1	502
36	2	886
36	3	1073
36	4	593
36	5	610
36	6	1011
36	7	430
36	8	683
36	9	1159
36	10	1180
36	11	1077
37	0	595
37	1	768
37	2	1318
37	3	1037
37	4	789
37	5	989
37	6	1063
37	7	456
37	8	1332
37	9	490
37	10	622
37	11	837
38	0	1148
38	1	674
38	2	584
38	3	670
38	4	643
38	5	903
38	6	793
38	7	457
38	8	874
38	9	404
38	10	618
38	11	707
39	0	924
39	1	432
39	2	920
39	3	1062
39	4	924
39	5	1226
39	6	840
39	7	1368
39	8	1184
39	9	826
39	10	1071
39	11	1163
40	0	1247
40	1	895
40	2	627
40	3	743
40	4	1292
40	5	1242
40	6	1249
40	7	712
40	8	1170
40	9	897
40	10	501
40	11	652
41	0	580
41	1	1203
41	2	1279
41	3	1379
41	4	1308
41	5	603
41	6	957
41	7	1036
41	8	1195
41	9	489
41	10	603
41	11	1135
42	0	537
42	1	732
42	2	774
42	3	575
42	4	882
42	5	1289
42	6	1186
42	7	518
42	8	807
42	9	579
42	10	1147
42	11	1017
43	0	1088
43	1	1170
43	2	1035
43	3	1215
43	4	832
43	5	679
43	6	1255
43	7	977
43	8	563
43	9	681
43	10	1023
43	11	837
44	0	950
44	1	871
44	2	1098
44	3	1222
44	4	859
44	5	665
44	6	1013
44	7	1017
44	8	676
44	9	937
44	10	710
44	11	672
45	0	1388
45	1	591
45	2	494
45	3	1201
45	4	745
45	5	1263
45	6	1088
45	7	648
45	8	950
45	9	469
45	10	1206
45	11	783
46	0	670
46	1	1217
46	2	440
46	3	1102
46	4	900
46	5	1168
46	6	475
46	7	433
46	8	1107
46	9	1177
46	10	599
46	11	836
47	0	1347
47	1	1211
47	2	1226
47	3	773
47	4	562
47	5	412
47	6	697
47	7	973
47	8	1054
47	9	1343
47	10	910
47	11	768
48	0	1216
48	1	1240
48	2	457
48	3	1175
48	4	959
48	5	463
48	6	799
48	7	454
48	8	920
